"property_time","item_id","property_name","property_value","is_available","category_id"
"2015-05-31 03:00:00.000","1","768","n36.000",,
"2015-06-28 03:00:00.000","8","categoryid","173",,
"2015-05-17 03:00:00.000","17","categoryid","1265",,
"2015-05-31 03:00:00.000","18","839","992862",,
"2015-06-28 03:00:00.000","20","159","519769",,
"2015-05-10 03:00:00.000","21","678","308308 234027",,
"2015-05-24 03:00:00.000","29","1066","732011 424566",,
"2015-05-31 03:00:00.000","30","720","896573 10317",,
"2015-06-28 03:00:00.000","33","917","1098122",,
"2015-05-10 03:00:00.000","39","159","519769",,
